[0422/165614.366:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165614.367:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0422/165614.391:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0428/111055.763:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111100.780:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111105.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111110.802:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111115.814:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111120.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111125.840:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111130.855:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111135.872:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111140.880:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111145.892:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111150.902:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111155.918:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111200.930:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111205.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111210.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111215.966:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111220.982:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111225.992:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111231.005:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111236.020:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111241.032:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111246.045:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111251.053:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111256.070:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111301.082:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111306.092:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111311.105:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111316.121:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111321.130:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111326.141:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111331.153:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111336.172:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111341.181:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111346.192:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111351.203:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111356.220:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111401.231:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111406.244:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111411.261:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111416.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111421.284:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111426.294:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111431.303:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111436.320:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111441.332:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111446.345:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111451.353:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111456.371:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111501.381:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111506.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111511.404:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111516.421:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111521.430:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111526.441:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111531.454:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111536.472:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111541.480:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111546.494:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111551.506:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111556.522:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111601.532:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111606.544:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111611.560:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111616.570:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111621.582:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111626.591:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111631.604:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111636.616:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111641.632:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111646.646:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111651.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111656.670:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111701.683:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111706.692:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111711.710:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111716.722:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
